id;name;catory;description;calo;price
1;withdrawal;Metal;Kentucky copy;Director;Awesome Dynamic Plastic
2;transmitting Arkansas Granite;Cotton;Vietnam microchip SCSI;Roads Summit Rustic;initiative Markets
3;compressing Liaison archive;Licensed;Spurs firewall;Solutions neural;Litas Gorgeous
4;Inverse;auxiliary Small;Avon withdrawal blue;Venezuela;bandwidth PCI
5;Isle ivory;Versatile National;Liaison parallelism;Awesome;Cotton PNG Automotive
6;Borders;1080p;magenta;mint transmitting;Synergistic synthesize Sports
7;Security;compelling New Checking;Borders green;Cambridgeshire hack;Borders
8;Operations;Expanded;Plastic up;analyzing Soft mission-critical;Markets
9;copying Down-sized;COM Bedfordshire;Electronics Savings Falkland;virtual Shirt;transmitting
10;Berkshire;cutting-edge Phased mobile;Strategist Licensed;Kansas;Pants
